Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Search Depth
renew blue badge,293,1.22,11.60%,13.41%,00:03:54,2.31
dementia,292,1.56,11.99%,20.00%,00:03:18,2.79
apprentice,291,1.20,4.12%,14.57%,00:02:48,3.56
children,288,1.30,16.32%,38.50%,00:02:53,2.62
fire,288,1.36,11.11%,32.48%,00:04:09,3.94
roundabouts,288,1.26,7.29%,12.09%,00:03:26,3.56
pet passport,287,1.21,6.97%,11.85%,00:04:05,3.67
tell us once,287,1.20,4.88%,8.12%,00:03:19,2.67
council tax benefit,286,1.29,6.64%,23.04%,00:04:23,3.70
passport validity,286,1.37,16.43%,30.18%,00:03:12,3.59
press office,286,1.33,13.64%,31.76%,00:01:40,2.07
volunteering,285,1.22,9.12%,17.24%,00:03:07,2.70
Job seekers allowance,284,1.06,3.87%,12.29%,00:03:28,4.14
business rates,283,1.25,5.30%,15.58%,00:03:21,3.55
mobility allowance,282,1.50,12.06%,23.40%,00:05:26,5.16
measles,280,1.55,15.36%,16.17%,00:02:40,2.19
employment rights,279,1.52,10.75%,32.39%,00:06:11,4.07
G8,279,1.34,11.47%,14.75%,00:05:07,4.28
mortgage,279,1.26,13.98%,22.44%,00:03:55,4.25
public health,279,1.36,9.68%,27.37%,00:04:21,3.58
vaccinations,277,1.19,16.25%,48.79%,00:01:15,1.62
indonesia,276,1.16,2.17%,34.38%,00:02:53,2.73
CV,275,1.16,59.27%,17.81%,00:01:40,0.90
domestic violence,275,1.64,14.91%,22.17%,00:03:50,2.89
mobility,275,1.16,12.36%,50.00%,00:03:09,2.85
tax rebate,275,1.12,24.00%,27.69%,00:02:13,2.52
hong kong,274,1.17,7.30%,33.75%,00:03:21,4.31
mod,274,1.28,8.76%,32.10%,00:04:03,3.81
form,273,1.17,11.36%,49.22%,00:02:29,2.86
lasting power of attorney,273,1.24,3.30%,10.95%,00:07:07,4.99
jsa online,272,1.14,2.21%,17.74%,00:04:52,3.19
adi,271,1.44,7.01%,26.60%,00:05:00,3.38
CONTACT,271,1.18,10.33%,24.45%,00:02:55,2.41
help desk,271,1.17,12.55%,24.61%,00:04:13,2.78
pn1,271,1.20,4.80%,19.02%,00:03:45,4.42
working tax,271,1.11,2.58%,16.23%,00:05:13,4.72
cleaning,270,1.41,17.78%,16.23%,00:03:21,3.24
managing public money,270,1.22,8.15%,19.39%,00:02:55,2.33
V5,270,1.17,11.11%,25.24%,00:01:40,1.84
free school meals,269,1.24,9.29%,17.37%,00:03:15,2.88
v778,269,1.23,9.67%,24.10%,00:02:15,3.01
Housing benefit,268,1.13,6.34%,17.49%,00:04:04,4.31
student finance forms,268,1.13,1.49%,9.21%,00:02:43,4.54
sri lanka,267,1.18,5.24%,30.06%,00:03:17,3.55
benefit adviser,266,1.17,3.01%,13.50%,00:05:00,2.47
Job seekers,266,1.08,7.52%,15.68%,00:03:43,3.29
mot history,266,1.06,1.50%,6.76%,00:01:26,1.30
Grants,265,1.34,15.09%,25.07%,00:03:49,4.38
redundancy pay,265,1.38,1.51%,11.72%,00:05:13,7.00
sure start,265,1.16,10.19%,19.87%,00:03:41,3.70
dfid,264,1.16,11.36%,28.85%,00:03:57,4.00
drugs,264,1.35,13.26%,28.65%,00:03:21,2.36
Passports,264,1.16,4.17%,12.46%,00:03:45,3.47
towing,262,1.35,9.16%,25.71%,00:03:41,4.15
child care,261,1.24,17.62%,37.35%,00:02:47,2.59
childcare vouchers,261,1.35,10.73%,11.33%,00:02:40,3.08
data protection act,261,1.20,7.66%,27.56%,00:02:52,2.57
PENSION CREDIT,261,1.31,4.60%,12.32%,00:04:26,4.46
signing on,261,1.15,4.98%,15.33%,00:03:36,3.88
telephone,261,1.21,21.46%,32.91%,00:01:52,1.81
hardship payments,260,1.55,16.92%,26.12%,00:04:04,3.29
notice period,260,1.29,7.31%,24.70%,00:03:40,3.61
germany,259,1.17,5.79%,43.71%,00:02:38,3.35
Maternity pay,259,1.20,2.70%,14.52%,00:04:44,5.63
state pensions,259,1.17,3.86%,19.41%,00:05:32,5.28
address change,258,1.23,9.69%,22.40%,00:04:35,2.16
japan,257,1.26,5.06%,40.31%,00:03:43,3.42
moving house,256,1.10,27.73%,36.65%,00:01:49,1.34
counterpart,255,1.19,20.39%,32.89%,00:02:58,1.81
debt,254,1.31,10.24%,25.90%,00:03:46,3.07
sole trader,253,1.26,7.11%,15.94%,00:06:01,4.61
fire safety,252,1.35,4.76%,25.00%,00:03:52,3.71
serps,252,1.25,8.73%,18.15%,00:03:21,5.08
show me tell me,252,1.21,20.24%,25.57%,00:02:22,2.45
ssp1,252,1.21,9.52%,25.57%,00:03:41,3.91
council tax bands,251,1.16,4.78%,12.33%,00:03:26,2.52
jobseeker,251,1.34,1.59%,11.61%,00:04:22,4.25
uganda,251,1.18,5.98%,35.93%,00:02:46,2.73
annual leave,250,1.18,3.20%,17.29%,00:04:30,6.24
Blue badge,250,1.14,8.00%,11.89%,00:02:52,2.12
passport office,250,1.21,6.80%,18.54%,00:02:52,3.44
shingles,249,1.52,14.06%,25.13%,00:03:13,2.64
ufo,249,1.29,7.23%,9.06%,00:02:35,2.56
child support agency,248,1.25,5.24%,14.15%,00:03:50,4.23
in work credit,248,1.21,4.03%,23.59%,00:04:59,4.99
pension forcast,248,1.44,2.82%,10.89%,00:04:55,5.28
tax code,248,1.23,5.24%,31.80%,00:03:28,4.39
visa application,248,1.25,20.16%,28.39%,00:02:33,1.63
track,247,1.17,7.69%,27.08%,00:01:52,1.95
freedom of information,246,1.41,13.41%,14.70%,00:04:11,5.33
v888,246,1.39,7.72%,9.06%,00:02:05,2.30
working time directive,246,1.37,10.98%,21.89%,00:03:35,3.69
cabinet office,245,1.14,6.94%,36.20%,00:03:47,3.84
equality act 2010,245,1.34,15.92%,34.15%,00:04:27,2.30
savings credit,245,1.34,18.78%,17.33%,00:04:37,3.29
Child benefit,244,1.14,7.79%,20.22%,00:03:36,3.96
colombia,244,1.16,4.51%,37.10%,00:03:01,3.24
dbs application form,244,1.58,11.89%,24.35%,00:03:42,3.34
direct payments,244,1.43,18.85%,20.98%,00:03:14,2.90
equality act,244,1.36,13.93%,25.98%,00:03:51,2.20
track passport,244,1.26,6.15%,13.64%,00:01:41,2.67
bulgaria,243,1.23,3.29%,37.46%,00:03:03,3.20
d1 form,242,1.16,12.81%,19.93%,00:02:55,2.23
bankruptcy,241,1.13,7.05%,13.60%,00:04:25,3.59
hardship payment,241,1.36,20.33%,23.78%,00:04:06,3.37
ma1,241,1.17,2.49%,14.49%,00:03:21,3.86
National insurance,241,1.16,5.81%,22.58%,00:08:48,4.05
part time,241,1.19,18.67%,24.74%,00:02:23,2.76
safeguarding,241,1.37,16.60%,39.39%,00:02:47,1.96
stamp duty,240,1.17,5.83%,11.79%,00:02:22,2.47
afghanistan,238,1.40,5.88%,40.42%,00:03:23,3.06
canada,238,1.15,6.30%,30.66%,00:02:32,3.06
prague,238,1.24,8.40%,15.25%,00:02:10,2.45
d2,237,1.27,6.33%,28.67%,00:02:43,2.81
holiday calculator,237,1.09,1.69%,7.34%,00:03:53,6.40
number plates,237,1.18,4.22%,12.54%,00:02:42,2.38
payment by results,237,1.58,7.59%,25.87%,00:03:16,2.74
tax codes,237,1.21,2.53%,29.97%,00:04:06,4.38
help,236,1.14,10.59%,43.87%,00:03:45,2.83
payment,236,1.17,11.86%,59.78%,00:01:38,1.80
back to work,235,1.29,13.19%,31.68%,00:06:17,4.80
small claims,235,1.15,10.64%,15.50%,00:04:00,3.35
INCOME SUPPORT,234,1.16,3.42%,17.65%,00:04:21,4.02
bno,233,1.26,6.44%,16.33%,00:05:58,5.25
driving theory,233,1.10,4.29%,12.11%,00:02:30,2.23
mot check,233,1.19,2.15%,11.51%,00:02:31,1.87
USA,233,1.12,5.15%,46.18%,00:02:12,3.02
deed poll,232,1.26,4.74%,16.78%,00:03:15,2.37
libya,232,1.27,9.05%,36.61%,00:02:55,2.58
my benefits online,232,1.26,31.90%,36.64%,00:04:52,2.73
advertise jobs,230,1.17,2.61%,7.06%,00:02:18,1.57
changing address,230,1.19,7.83%,26.01%,00:02:48,2.08
dbs form,230,1.30,12.61%,27.85%,00:03:11,3.42
provisional driving licence,230,1.27,8.70%,15.07%,00:04:54,2.87
renewal,230,1.14,3.91%,50.76%,00:01:51,1.86
scotland,230,1.15,16.96%,41.51%,00:01:31,1.83
cancer,229,1.64,17.03%,26.60%,00:04:14,3.24
code of practice,229,1.24,12.23%,61.13%,00:02:07,1.34
scholarships,229,1.47,20.09%,13.95%,00:03:23,2.86
universal job,229,1.12,1.75%,7.39%,00:02:33,1.67
Car tax,228,1.09,4.39%,10.89%,00:04:44,2.23
paye,228,1.32,27.63%,26.82%,00:02:12,2.13
portugal,228,1.14,3.51%,34.10%,00:02:43,3.32
br19,226,1.45,5.75%,21.34%,00:04:01,4.19
registration,226,1.17,10.62%,45.45%,00:03:21,2.98
sign off,226,1.12,22.12%,42.46%,00:01:39,1.72
blue badge renewal,225,1.37,12.00%,13.59%,00:04:13,2.31
birth certificates,224,1.41,5.80%,12.38%,00:03:19,2.91
moving home,224,1.17,23.66%,31.18%,00:02:48,2.15
Forms,223,1.17,10.76%,55.38%,00:01:43,1.68
ghana,223,1.19,3.14%,35.34%,00:03:06,3.26
Jsa,223,1.15,5.38%,12.89%,00:06:17,3.40
local housing allowance,223,1.28,15.70%,17.13%,00:03:34,3.01
nin,222,1.21,9.46%,14.13%,00:04:32,3.06
test,222,1.20,10.81%,22.18%,00:02:52,3.16
direct gov,221,1.17,27.15%,27.13%,00:02:56,1.87
TUPE,221,1.30,6.79%,12.15%,00:04:24,3.48
v33,220,1.25,13.64%,21.17%,00:01:41,2.43
v62 form,220,1.27,7.73%,17.20%,00:02:48,2.12
BR19,219,1.41,6.85%,20.13%,00:04:20,4.38
Budgeting loan,219,1.11,3.20%,16.87%,00:02:51,4.36
Change address,219,1.15,9.13%,15.87%,00:04:17,1.88
email address,219,1.16,17.35%,35.18%,00:02:11,1.91
petitions,219,1.19,8.68%,14.56%,00:01:36,1.79
crb checks,218,1.23,8.72%,22.76%,00:04:21,3.69
cancellations,217,1.19,20.74%,30.62%,00:02:09,1.88
students,217,1.24,19.35%,30.74%,00:03:27,3.58
application,216,1.24,10.65%,50.56%,00:02:31,2.02
ATAS,216,1.25,5.09%,7.41%,00:04:26,3.34
discrimination,216,1.35,6.94%,28.42%,00:05:54,4.08
dsa online,216,1.17,1.39%,2.78%,00:02:23,1.55
IPC BR1,216,1.45,5.56%,7.32%,00:04:31,3.12
change name,215,1.35,5.58%,15.17%,00:02:36,2.61
medical,215,1.20,12.56%,43.41%,00:02:06,2.86
ESA50,214,1.34,11.68%,32.52%,00:02:33,3.34
Phone number,214,1.07,27.10%,27.95%,00:01:54,1.52
schools,214,1.20,18.69%,31.91%,00:02:23,2.05
bis,213,1.24,7.04%,30.30%,00:04:27,4.87
cost,213,1.13,7.98%,49.58%,00:01:16,1.52
Dvla,213,1.08,18.78%,21.21%,00:03:31,2.34
pet travel,213,1.27,4.23%,15.13%,00:05:28,3.79
Spain,213,1.15,9.86%,41.80%,00:02:45,2.77
health card,212,1.11,59.43%,30.93%,00:00:50,0.49
london,212,1.11,27.36%,35.59%,00:01:43,1.71
long term conditions,212,1.60,11.79%,15.04%,00:03:15,2.48
renew driving licence,212,1.09,5.19%,12.07%,00:04:08,2.33
DWP,211,1.21,7.58%,39.22%,00:03:34,3.89
export,211,1.15,8.53%,45.27%,00:02:59,2.67
all jobs,210,1.39,18.10%,7.53%,00:02:16,1.78
employment tribunal,210,1.31,9.52%,17.39%,00:03:50,3.08
transport,210,1.20,11.43%,36.36%,00:03:07,2.80
benefit advisor,209,1.13,2.87%,16.10%,00:05:57,2.68
Tax credits,209,1.20,4.78%,15.60%,00:02:15,2.87
working time,209,1.33,13.88%,37.55%,00:04:58,3.44
appointment,208,1.26,13.46%,40.46%,00:03:37,3.73
healthy child programme,208,1.43,11.54%,23.91%,00:03:15,2.00
motability,208,1.24,32.69%,18.29%,00:03:00,2.94
starting work,208,1.37,15.87%,38.60%,00:03:52,3.51
Tunisia,208,1.18,7.21%,27.35%,00:02:20,2.66
book practical test,207,1.36,4.35%,11.74%,00:03:53,3.24
consultations,207,1.22,13.53%,34.39%,00:03:47,3.42
helpline,207,1.16,16.91%,40.42%,00:02:01,1.96
Lost passport,207,1.15,4.35%,17.15%,00:02:40,2.86
unemployment,207,1.19,17.39%,39.84%,00:02:49,2.52
universaljobmatch,207,1.26,2.42%,9.58%,00:04:13,2.42
work,207,1.27,15.94%,27.48%,00:02:45,3.20
argentina,206,1.17,1.46%,49.79%,00:03:14,3.21
business grants,206,1.24,14.08%,14.90%,00:07:19,6.91
licence,206,1.10,14.56%,58.15%,00:01:57,1.31
return to work credit,206,1.16,2.91%,19.67%,00:04:04,4.15
waste,206,1.41,21.36%,28.87%,00:03:26,2.69
DSA,205,1.12,8.78%,48.47%,00:03:12,1.94
free prescriptions,205,1.25,32.20%,35.41%,00:02:07,1.74
school,205,1.26,12.68%,29.84%,00:02:55,2.93
V890,205,1.33,6.34%,22.71%,00:03:09,1.76
age discrimination,204,1.48,8.82%,33.22%,00:06:07,4.07
budget loans,204,1.21,2.45%,15.85%,00:04:29,5.33
HMRC,204,1.17,19.12%,22.27%,00:02:21,2.48
id,204,1.14,22.55%,42.92%,00:01:46,1.66
Thailand,204,1.15,6.86%,37.02%,00:02:48,2.60
auto enrolment,203,1.59,11.82%,15.17%,00:03:05,3.67
land registry,203,1.39,4.43%,13.78%,00:03:00,2.61
lost driving license,203,1.17,3.45%,12.18%,00:05:42,2.67
Tax,203,1.04,7.88%,26.89%,00:02:27,2.00
Carers allowance,202,1.15,4.95%,21.98%,00:04:01,4.55
Minimum wage,202,1.23,5.94%,12.45%,00:03:23,3.68
P60,202,1.20,9.90%,33.47%,00:02:19,3.34
yahoo,202,1.76,44.55%,17.42%,00:05:31,1.30
carer,201,1.24,10.95%,26.80%,00:03:33,3.90
Council tax,201,1.11,7.46%,11.61%,00:02:11,2.53
fast track,201,1.14,9.45%,42.17%,00:02:22,2.18
provisional license,201,1.16,10.45%,24.79%,00:05:12,2.92
sex discrimination,201,1.64,11.44%,36.36%,00:08:13,5.05
Tax disc,201,1.07,4.48%,8.37%,00:03:10,1.73
telephone numbers,201,1.17,21.39%,33.05%,00:03:09,2.22
business,200,1.24,10.50%,38.46%,00:04:35,4.64
employers,200,1.14,17.00%,36.56%,00:02:15,2.36
saudi arabia,200,1.22,4.50%,41.39%,00:02:18,3.14
social services,200,1.22,30.00%,21.81%,00:02:29,1.84
back to work bonus,198,1.36,19.70%,19.70%,00:04:24,4.99
facebook,198,1.32,56.06%,11.45%,00:01:27,1.08
passport forms,198,1.26,9.09%,23.29%,00:05:01,4.98
controlled drugs,197,1.48,12.18%,30.48%,00:02:39,1.68
import,197,1.17,5.58%,43.04%,00:04:08,4.02
sign on,197,1.09,13.20%,39.72%,00:02:00,2.15
bus passes,196,1.20,7.65%,15.74%,00:04:06,5.54
MA1,196,1.10,3.06%,12.56%,00:04:02,3.91
cscs,195,1.36,21.03%,25.56%,00:02:01,1.30
passport expiry,195,1.34,16.92%,30.15%,00:02:37,2.75
Working tax credit,195,1.11,2.05%,16.20%,00:03:41,4.36
dvla address,194,1.18,6.19%,18.34%,00:01:46,2.34
sick leave,194,1.43,5.15%,22.30%,00:03:47,3.64
budget,193,1.20,10.36%,29.31%,00:02:52,3.75
EPC,193,1.29,10.36%,15.26%,00:02:38,2.55
funeral,193,1.24,8.29%,12.97%,00:04:08,4.89
Mot,193,1.20,5.70%,12.12%,00:01:54,1.94
ipc br1,192,1.41,4.17%,11.07%,00:05:43,3.38
sexual health,192,1.65,14.58%,19.62%,00:02:50,2.03
continuation,191,1.15,7.33%,60.91%,00:01:10,1.59
new passport,191,1.26,5.76%,14.94%,00:05:12,5.55
P46,191,1.31,9.95%,25.60%,00:01:56,2.48
renew tax disc,191,1.16,6.28%,18.02%,00:03:34,1.96
Theory,191,1.18,6.28%,9.33%,00:02:50,1.90
D4,190,1.27,4.21%,20.25%,00:04:27,2.45
ethiopia,190,1.25,5.79%,37.39%,00:03:58,2.95
infection control,190,1.41,23.16%,26.87%,00:02:26,1.31
insolvency,190,1.23,6.84%,12.82%,00:03:53,3.14
nursery,190,1.25,14.21%,15.13%,00:03:12,3.25
post a job,190,1.10,6.32%,9.57%,00:02:07,1.56
tenders,190,1.45,9.47%,11.59%,00:03:15,3.38
Vacancies,189,1.19,24.87%,20.89%,00:01:14,1.48
application forms,188,1.27,11.17%,50.21%,00:02:37,2.07
energy,188,1.18,13.30%,38.01%,00:04:18,3.39
Esa,188,1.12,2.66%,23.70%,00:04:24,5.12
stroke,188,1.32,24.47%,35.48%,00:02:12,1.81
sudan,188,1.23,4.26%,32.90%,00:04:53,3.93
D1 form,187,1.16,13.37%,21.20%,00:01:46,1.73
housing benifit,187,1.16,4.81%,18.43%,00:05:03,4.82
lost,187,1.21,2.14%,30.53%,00:04:25,3.49
motorcycle,187,1.23,5.35%,28.70%,00:03:34,3.59
tax calculator,187,1.14,22.46%,22.54%,00:01:59,2.70
adoption leave,186,1.53,6.45%,24.65%,00:05:55,5.61
gmail,186,1.55,29.57%,20.76%,00:07:43,1.79
laos,186,1.25,1.08%,51.07%,00:03:29,3.68
ni,186,1.16,4.84%,29.17%,00:03:36,3.92
FAQ,185,1.29,14.05%,42.44%,00:02:31,2.25
fines,185,1.19,17.30%,31.36%,00:02:40,1.78
THEORY TEST,185,1.22,2.70%,10.62%,00:04:16,2.37
leaflets,184,1.26,15.76%,53.45%,00:02:13,1.92
Loans,184,1.24,10.87%,16.16%,00:03:45,4.78
ni number,184,1.21,4.89%,11.66%,00:03:07,3.12
ukba,184,1.19,7.61%,20.55%,00:04:11,2.20
working time regulations,184,1.46,16.30%,23.05%,00:03:53,3.21
BNO,183,1.36,6.01%,16.53%,00:07:52,6.33
pay,183,1.17,10.38%,47.44%,00:02:58,2.39
personal independence payment,183,1.34,3.83%,16.33%,00:05:07,5.40
c1 form,182,1.36,7.14%,31.58%,00:04:07,4.14
Dla,182,1.16,5.49%,24.06%,00:03:56,4.23
mental capacity act,182,1.54,28.02%,27.76%,00:02:21,1.60
mental health act,182,1.40,26.37%,38.82%,00:02:03,1.51
public health england,182,1.24,12.64%,25.22%,00:03:55,3.41
VAT,182,1.33,12.09%,19.83%,00:03:18,2.96
algeria,181,1.29,6.63%,39.91%,00:02:31,3.06
birthday honours,181,1.19,4.97%,11.57%,00:02:58,2.57
incapacity,181,1.20,5.52%,26.61%,00:04:57,4.57
isa,181,1.43,24.31%,34.88%,00:01:27,1.63
iva,181,1.46,4.42%,19.70%,00:04:01,3.42
local authority,181,1.20,11.60%,23.50%,00:01:43,1.69
Maternity leave,181,1.14,4.42%,22.82%,00:07:21,5.50
opening hours,181,1.19,28.18%,30.56%,00:01:54,1.35
regulated activity,181,1.41,7.73%,20.70%,00:06:18,3.25
unemployment benefit,180,1.25,8.89%,22.67%,00:03:51,3.63
Greece,179,1.17,3.91%,39.05%,00:02:11,2.65
id checking guidelines,179,1.17,2.23%,6.70%,00:01:36,1.47
motoring forms,179,1.16,6.70%,34.13%,00:02:16,1.68
nepal,179,1.18,5.59%,27.49%,00:03:19,3.30
24 loan,178,1.16,3.37%,8.70%,00:05:32,4.07
dual citizenship,178,1.35,14.61%,22.08%,00:03:16,3.66
esta,178,1.25,40.45%,8.52%,00:02:09,1.69
homeless,178,1.28,14.04%,11.89%,00:03:05,3.18
Crb,177,1.22,14.69%,18.98%,00:02:27,2.60
Crisis loan,177,1.28,15.25%,15.93%,00:05:13,3.67
National insurance number,177,1.19,6.78%,13.33%,00:02:52,2.27
noise,177,1.42,12.99%,23.02%,00:03:03,2.72
Sick pay,177,1.19,7.34%,19.43%,00:04:04,3.98
tariff,177,1.25,2.26%,38.46%,00:06:03,6.42
unfair dismissal,177,1.30,5.65%,21.30%,00:04:59,4.27
BIS,176,1.15,6.25%,37.62%,00:03:49,3.69
burma,176,1.16,3.98%,29.90%,00:02:41,3.53
dental,176,1.41,28.98%,37.90%,00:01:59,1.82
disability allowance,176,1.31,7.95%,29.13%,00:04:26,4.38
make a claim,176,1.16,12.50%,46.34%,00:02:01,1.90
borneo,175,1.20,12.00%,26.19%,00:02:49,2.64
Child tax credit,175,1.14,2.86%,13.00%,00:03:05,4.02
contracts,175,1.26,12.57%,29.41%,00:03:34,3.28
d777b,175,1.31,4.00%,13.04%,00:02:41,2.59
local council,175,1.15,2.86%,8.91%,00:02:00,1.29
opening times,175,1.13,30.29%,35.03%,00:01:03,1.30
job seeker,174,1.24,11.49%,29.77%,00:03:27,3.57
national careers service,174,1.29,41.95%,10.22%,00:02:38,1.40
permitted development,174,1.53,24.14%,21.43%,00:02:46,2.07
pregnant,174,1.40,13.22%,23.77%,00:05:46,6.03
State pension statement,174,1.09,4.02%,5.79%,00:02:41,2.84
countersignature,173,1.17,6.94%,9.36%,00:04:05,2.46
v55/5,173,1.37,12.14%,24.05%,00:02:54,2.78
wills,173,1.19,7.51%,22.82%,00:05:04,5.74
www.gov.uk,173,1.71,19.65%,26.01%,00:04:38,3.02
breastfeeding,172,1.53,23.84%,21.21%,00:03:33,2.75
business plan template,172,1.41,16.86%,11.52%,00:02:24,3.30
CPC,172,1.30,5.23%,16.96%,00:04:26,3.40
dbs update service,172,1.58,8.14%,14.76%,00:05:53,3.31
identity documents,172,1.18,2.91%,25.62%,00:02:43,2.11
insurance number,172,1.15,5.81%,14.65%,00:03:41,3.67
marriage abroad,172,1.49,2.33%,28.52%,00:09:17,6.92
photo,172,1.25,10.47%,25.12%,00:02:11,2.02
self assesment,172,1.10,5.81%,13.68%,00:02:13,3.01
embassy,171,1.27,12.87%,38.25%,00:03:33,3.63
Log in,171,1.05,22.81%,19.55%,00:02:07,1.75
park homes,171,1.37,4.09%,8.12%,00:04:24,3.36
treasury,171,1.14,3.51%,44.10%,00:03:36,3.61
Visas,171,1.18,26.32%,35.82%,00:01:30,1.47
boiler,170,1.23,10.59%,20.10%,00:03:17,4.62
change bank details,170,1.18,15.88%,45.77%,00:02:08,1.59
CHANGE OF ADDRESS,170,1.19,7.06%,17.73%,00:02:58,2.02
driver,170,1.21,22.35%,23.79%,00:01:59,1.72
e11,170,1.14,21.76%,65.98%,00:01:02,0.96
internships,170,1.44,20.00%,17.96%,00:02:20,2.47
NHS,170,1.29,25.29%,38.36%,00:02:46,1.59
prescriptions,170,1.37,37.65%,29.61%,00:02:29,1.48
rest breaks,170,1.10,3.53%,25.13%,00:03:47,3.36
sick,170,1.25,6.47%,34.74%,00:04:00,3.38
CARERS ALLOWANCE,169,1.16,4.14%,20.41%,00:02:46,3.88
CSA,169,1.21,7.69%,15.20%,00:03:46,3.57
D2,169,1.27,6.51%,25.12%,00:04:10,2.92
form c1,169,1.54,8.88%,24.62%,00:05:10,4.20
hs2,169,1.38,7.10%,17.95%,00:04:16,3.26
htm,169,1.71,13.02%,46.02%,00:03:48,3.06
north korea,169,1.20,2.37%,53.47%,00:03:09,3.11
school holidays,169,1.20,5.33%,9.41%,00:01:24,2.60
test centres,169,1.30,4.14%,15.98%,00:03:45,4.15
passport tracking,168,1.30,6.55%,10.50%,00:01:33,2.60
rabies,168,1.24,5.95%,17.79%,00:02:33,1.95
retention,168,1.10,8.33%,36.22%,00:03:02,2.63
Test Search Text,168,1.00,100.00%,0.00%,00:00:00,0.00
troubled families,168,2.08,33.93%,7.16%,00:04:57,3.04
construction,167,1.40,15.57%,24.03%,00:03:32,3.08
Driving licence,167,1.16,4.79%,13.47%,00:04:08,2.69
pass plus,167,1.39,4.79%,14.22%,00:04:06,3.93
adult learning,166,1.35,13.86%,16.96%,00:04:52,4.90
ireland,166,1.21,13.25%,54.23%,00:01:44,2.64
lha,166,1.24,12.65%,27.67%,00:02:28,3.03
LSO1,166,1.31,7.83%,27.65%,00:02:11,3.61
oman,166,1.09,4.82%,35.91%,00:02:35,3.08
tax disc refund,166,1.19,3.61%,9.09%,00:02:01,2.39
address continuation sheet,165,1.15,4.85%,23.81%,00:01:59,1.62
asbestos,165,1.36,10.91%,13.84%,00:02:52,2.75
bali,165,1.21,9.09%,26.63%,00:02:36,3.36
gov.uk,165,1.23,18.18%,41.87%,00:02:43,2.38
job serch,165,1.13,5.45%,13.37%,00:02:07,1.45
licensing,165,1.41,6.06%,36.91%,00:04:18,3.26
reclaim,165,1.20,10.30%,29.80%,00:03:41,3.24
small claims court,165,1.24,12.12%,17.56%,00:04:09,3.84
student forms,165,1.16,1.21%,7.33%,00:03:51,5.45
Universal Jobmatch,165,1.13,1.82%,5.88%,00:03:37,1.66
continuing healthcare,164,1.56,5.49%,26.95%,00:03:00,2.26
council tax band,164,1.19,3.05%,6.67%,00:01:49,1.79
disclosure,164,1.27,6.71%,17.22%,00:05:27,4.16
stopping distances,164,1.28,8.54%,20.00%,00:03:38,4.20
child benefits,163,1.27,5.52%,29.47%,00:05:32,4.82
FCO,163,1.17,10.43%,28.27%,00:03:15,4.29
jobcentreplus,163,1.17,11.04%,18.95%,00:03:21,2.74
mali,163,1.36,8.59%,35.29%,00:02:28,2.37
maternity rights,163,1.56,5.52%,20.39%,00:05:19,5.47
ministers,163,1.28,17.18%,33.97%,00:01:11,1.84
Widows pension,163,1.32,22.70%,21.86%,00:04:18,4.94
claim,162,1.14,9.88%,43.48%,00:02:09,2.38
complaint,162,1.37,17.28%,31.08%,00:02:15,2.12
oil and gas,162,1.37,14.81%,30.18%,00:04:20,2.60
STATE PENSION,162,1.18,6.79%,17.28%,00:02:31,4.35
travel to turkey,162,1.19,4.32%,11.98%,00:02:44,2.91
wage incentive,162,1.36,12.35%,16.29%,00:03:07,3.17
weee,162,1.52,28.40%,8.50%,00:04:26,2.96
C1,161,1.28,9.32%,44.66%,00:02:22,3.01
costa rica,161,1.11,2.48%,39.66%,00:02:08,3.22
cyi,161,1.17,2.48%,16.93%,00:03:08,4.06
Divorce,161,1.11,6.83%,11.73%,00:05:07,4.72
hgv,161,1.29,14.91%,38.94%,00:01:49,2.02
payments,161,1.17,15.53%,52.91%,00:02:03,1.78
smp1,161,1.30,5.59%,20.48%,00:03:56,4.88
young people,161,1.46,20.50%,31.06%,00:03:26,3.14
zimbabwe,161,1.22,6.21%,37.24%,00:02:42,3.01
compassionate leave,160,1.21,14.37%,23.71%,00:03:12,2.85
every child matters,160,1.35,35.62%,26.85%,00:01:59,1.17
motorcycle theory test,160,1.40,10.00%,13.84%,00:03:57,3.81
phone,160,1.14,12.50%,37.70%,00:02:18,2.14
Contact us,159,1.08,27.67%,24.56%,00:02:29,2.16
dismissal,159,1.23,3.14%,26.02%,00:05:34,4.83
notice,159,1.23,7.55%,41.84%,00:02:39,3.63
claim jsa,158,1.11,6.33%,13.64%,00:03:29,3.01
feed in tariff,158,1.59,7.59%,17.53%,00:03:17,2.99
naturalisation,158,1.59,7.59%,20.24%,00:05:39,4.06
Pension Credit,158,1.18,5.06%,16.04%,00:04:39,4.00
starter checklist,158,1.28,17.72%,19.70%,00:01:41,2.44
appointee,157,1.20,8.28%,20.63%,00:02:32,2.27
contact telephone number,157,1.17,16.56%,25.00%,00:02:51,2.07
job grant,157,1.24,10.19%,27.18%,00:03:36,4.22
jobseeker allowance,157,1.24,3.18%,14.43%,00:04:41,4.32
lost counterpart,157,1.11,14.01%,35.43%,00:03:27,2.11
passport offices,157,1.20,7.64%,21.16%,00:03:20,3.70
special support grant,157,1.20,12.10%,13.76%,00:05:20,5.27
cctv,156,1.54,10.26%,25.31%,00:03:50,2.90
Csa,156,1.17,5.77%,17.58%,00:03:36,3.52
